player,team,league,position,salary
"Gomes, Yan",Washington Nationals,NL-East,C,6000000
"Hand, Brad",Washington Nationals,NL-East,RP,10120196
"Harris, Will",Washington Nationals,NL-East,RP,8000000
"Harrison, Josh",Washington Nationals,NL-East,2B,1000000
"Hernandez, Yadiel",Washington Nationals,NL-East,OF,572600
"Hudson, Daniel",Washington Nationals,NL-East,RP,6000000
"Lester, Jon",Washington Nationals,NL-East,SP,4786954
"Mercer, Jordy",Washington Nationals,NL-East,SS,1000000
"Perez, Hernan",Washington Nationals,NL-East,2B,750000
"Rainey, Tanner",Washington Nationals,NL-East,RP,589000
"Robles, Victor",Washington Nationals,NL-East,OF,614000
"Ross, Joe",Washington Nationals,NL-East,SP,1500000
"Scherzer, Max",Washington Nationals,NL-East,SP,34503480
"Schwarber, Kyle",Washington Nationals,NL-East,OF,7000000
"Soto, Juan",Washington Nationals,NL-East,OF,8500000
"Stevenson, Andrew",Washington Nationals,NL-East,OF,579100
"Strasburg, Stephen",Washington Nationals,NL-East,SP,32045256
"Suero, Wander",Washington Nationals,NL-East,RP,600700
"Turner, Trea",Washington Nationals,NL-East,SS,13000000
"Voth, Austin",Washington Nationals,NL-East,RP,587700
"Zimmerman, Ryan",Washington Nationals,NL-East,1B,1000000
